ID_REF  VALUE   PLIER
1552944_a_at    0.56045127      0.5698095
1552946_at      1.3023843       1.9098606
1552947_x_at    1.2583425       1.4872531
1552948_at      0.93070805      0.8892996
1552950_at      1.4703144       1.2445444
1552952_at      0.62352276      1.7960573
1552953_a_at    0.5388441       0.5650861
1552954_at      0.40843597      0.019259756
1552955_at      0.47788802      0.6734484
1552957_at      1.0069666       1.0884982
1552960_at      0.83058614      1.295624
1552961_at      1.0075228       0.816739
1552964_at      0.29106778      0.34043142
1552965_a_at    0.39997774      1.1304445
1552967_at      0.42102313      0.98715633
1552969_a_at    1.171929        1.4499063
1552970_s_at    0.745117        0.5007219
1552971_at      0.4592514       1.0195702
1552972_at      0.95367265      0.1697945
1552973_at      0.41699445      0.74288505
1552974_at      1.2985772       0.43264347
1552975_x_at    1.2993783       0.8485159
1552976_at      1.3600098       1.0822355
1552977_a_at    0.9319596       0.8956763
1552978_a_at    0.3528167       0.46110708
1552979_at      0.61837196      0.3234325
1552980_at      0.96708244      0.70010275
1552982_a_at    0.29304993      1.0149603
1552985_at      0.4043753       1.2078056
1552986_at      1.2958919       1.857774
1552987_a_at    0.84161973      0.9933762
1552988_at      0.5689326       1.1802342
1552990_at      0.3541818       1.1321801
1552991_at      0.28135625      0.7446506
1552993_at      0.7984959       0.059769955
1552995_at      1.1305162       0.9487526
1552997_a_at    0.3720452       0.9483841
1552998_at      0.389192        0.9994952
1552999_a_at    0.37401432      0.7627688
1553002_at      0.4680798       0.515922
1553003_at      0.7054733       0.92616224
1553004_at      0.50379205      1.3002676
1553006_at      0.57834107      1.0875418
1553007_a_at    0.59257853      0.51032907
1553009_s_at    0.4184119       1.1453221
1553011_at      0.93851376      1.2455192
1553013_at      0.43637118      0.5371962
1553015_a_at    1.0071505       0.7858518
1553016_at      0.5881268       0.97962075
1553019_at      0.9860325       0.4314001
1553020_at      0.7080047       0.78114367
1553021_s_at    0.7793925       0.8217214
1553022_at      0.6818067       1.1448833
1553023_a_at    0.6094602       0.9932996
1553024_at      0.49559638      0.45796713
1553025_at      0.5544264       1.2509446
1553027_a_at    0.6850427       0.7791351
1553028_at      0.75529987      1.0746038
1553030_a_at    0.79650027      0.72529304
1553031_at      0.3636543       0.8427331
1553032_at      0.493452        1.1072361
1553033_at      3.81226 2.7644112
1553034_at      1.2190851       1.2952542
1553036_at      0.38300505      0.25396362
1553037_a_at    0.21680316      0.30690312
1553039_a_at    0.25769296      0.56809366
1553041_at      0.5969514       0.8394578
1553042_a_at    0.7441341       1.0418683
1553043_a_at    1.6641257       1.3277855
1553044_at      0.37401432      0.93534064
1553045_at      0.59324914      0.6951881
1553046_s_at    0.573888        0.922134
1553047_at      1.1017071       0.62908804
1553048_a_at    0.6462198       0.64609265
1553051_s_at    0.612224        1.0094377
1553052_at      0.61453676      1.4436724
1553053_at      0.5957149       1.4068681
1553055_a_at    0.7911535       1.5408535
1553057_at      0.5661507       1.0822265
1553058_at      0.54571563      1.1317403
1553059_at      0.49039164      0.5158745
1553060_at      0.4948495       0.7554484
1553061_at      0.5237422       1.0111394
1553062_at      0.5120266       0.5854848
1553063_at      0.6659271       1.0611242
1553064_at      0.927057        1.4814435
1553066_at      0.3008875       1.1692499
1553067_a_at    0.5127995       0.8918508
1553069_at      0.3284552       0.8833799
1553070_a_at    0.4268574       1.2667981
1553071_a_at    0.8046918       1.1672683
1553072_at      0.5249284       1.1331127
1553074_at      0.4736722       0.9060301
1553075_a_at    0.7557272       0.24852626
1553076_at      0.6458966       0.01
1553077_at      0.40582636      0.7604287
1553078_at      0.40468028      1.1026589
